"","State","Date.Local","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi"
"196","Alaska","2015-08-24",2.3625,7,0.012542,17,1.75,0.1122725,3,1
"197","Alaska","2015-08-25",3.1625,8,0.007875,12,2.571739,0.171721,9,2
"198","Alaska","2015-08-26",2.15,8,0.012542,16,2,0.1447915,3,2
"199","Alaska","2015-08-27",0.591667,2,0.018292,19,1.7666665,0.0929165,3,1
"200","Alaska","2015-08-28",1.4625,3,0.01875,22,1.5425465,0.103261,3,1
"201","Alaska","2015-08-29",2.225,4,0.014292,17,1.85,0.1047915,3,1
"202","Alaska","2015-08-30",1.629167,4,0.017792,22,1.9770835,0.0983335,4,1
"203","Alaska","2015-08-31",3.804167,10,0.008583,16,1.985,0.115562,4,2
"204","Alaska","2015-09-02",5.634783,10,0.007188,18,1.1857145,0.1795835,3,2
"205","Alaska","2015-09-03",4.675,9,0.009917,16,2.0503105,0.218714,6,3
"206","Alaska","2015-09-04",4.891667,9,0.007375,14,2.5541665,0.192292,14,2
"207","Alaska","2015-09-05",5.016667,13,0.006833,15,2.7208335,0.2010415,7,2
"208","Alaska","2015-09-06",6.008333,12,0.010292,19,3.1164595,0.2022465,10,3
"209","Alaska","2015-09-07",5.566667,11,0.010958,18,2.7145835,0.19875,6,2
"210","Alaska","2015-09-08",7.508333,12,0.008417,16,2.8104165,0.2270835,7,3
"211","Alaska","2015-09-09",6.654167,10,0.008042,17,2.8223605,0.256558,7,3
"212","Alaska","2015-09-10",7.883333,20,0.013542,23,3.03125,0.2327085,7,3
"213","Alaska","2015-09-11",8.270833,17,0.011,20,3.3291665,0.257708,7,3
"214","Alaska","2015-09-12",4.3875,11,0.012417,15,2.352795,0.225888,6,3
"215","Alaska","2015-09-13",2.975,7,0.009542,11,2.4395835,0.205625,9,3
"216","Alaska","2015-09-14",5.826087,9,0.0085,13,2.476948,0.251395,4,3
"217","Alaska","2015-09-15",3.9875,8,0.007708,12,2.235404,0.2761415,6,3
