year_month,ppm,aqi,type
2014-06,0.030958497,42.97682787,O3
2014-07,0.030698981,43.47857054,O3
2014-08,0.028963344,43.15778879,O3
2014-09,0.023761261,35.35835385,O3
2014-10,0.020948476,30.48835315,O3
2014-11,0.020431514,26.96571723,O3
2014-12,0.015350537,21.01388254,O3
2015-01,0.018463032,24.76469014,O3
2015-02,0.023331045,29.62410826,O3
2015-03,0.027325468,35.35337701,O3
2015-04,0.031514784,40.09948756,O3
2015-05,0.033230564,44.41434526,O3
2015-06,0.031190281,44.02985422,O3
2015-07,0.02944505,41.19873065,O3
2015-08,0.029625592,43.74274238,O3
2015-09,0.026503816,39.89044179,O3
2015-10,0.021590226,30.09555966,O3
2015-11,0.019548224,26.57477133,O3
2015-12,0.017292289,23.35859737,O3
2000-01,0.840023417,14.57237333,CO
2000-02,0.76834873,13.14571255,CO
2000-03,0.59562071,10.18031857,CO
2000-04,0.552494905,9.052730377,CO
2000-05,0.502198437,7.807365402,CO
2000-06,0.497009683,7.508062688,CO
2000-07,0.477829055,7.47049014,CO
2000-08,0.505526202,7.908750106,CO
2000-09,0.545773516,8.821369678,CO
2000-10,0.732903789,12.83974438,CO
2000-11,0.813868795,14.94630731,CO
2000-12,0.827227745,15.21683371,CO
2001-01,0.821791719,14.85403275,CO
2001-02,0.661924101,11.26014496,CO
2001-03,0.528438111,9.002471686,CO
2001-04,0.466639827,7.867715356,CO
2001-05,0.412452769,6.642578997,CO
2001-06,0.411989059,6.79210904,CO
2001-07,0.36454184,5.885746422,CO
2001-08,0.447920784,7.050594787,CO
2001-09,0.469504363,8.031362354,CO
2001-10,0.511828154,9.351382048,CO
2001-11,0.654405779,12.47737445,CO
2001-12,0.696020091,12.83793249,CO
2002-01,0.69854575,12.35443473,CO
2002-02,0.574345914,10.10299116,CO
2002-03,0.452722281,7.578682982,CO
2002-04,0.442303673,6.834215869,CO
2002-05,0.409803285,6.364420564,CO
2002-06,0.409622372,6.393890975,CO
2002-07,0.414690662,6.210728765,CO
2002-08,0.403658493,6.241758545,CO
2002-09,0.471838523,7.637826232,CO
2002-10,0.52987814,8.572293994,CO
2002-11,0.629416768,11.44872152,CO
2002-12,0.653879768,11.56553866,CO
2003-01,0.639735478,10.71976798,CO
2003-02,0.572888408,9.405919611,CO
2003-03,0.482869396,7.765731309,CO
2003-04,0.424837988,6.55398613,CO
2003-05,0.400446036,6.333484868,CO
2003-06,0.382820249,6.098391378,CO
2003-07,0.418054824,6.342935688,CO
2003-08,0.455723728,6.862177116,CO
2003-09,0.449403739,7.364090106,CO
2003-10,0.563514869,10.13434817,CO
2003-11,0.639966327,11.87502551,CO
2003-12,0.675355841,11.8704391,CO
2004-01,0.572465758,9.820262249,CO
2004-02,0.534712152,9.292838093,CO
2004-03,0.484384231,7.745991869,CO
2004-04,0.403344067,6.349790376,CO
2004-05,0.350102503,5.590651951,CO
2004-06,0.363276511,5.663270377,CO
2004-07,0.377091102,5.686646435,CO
2004-08,0.39576473,6.183018532,CO
2004-09,0.457305593,7.380168279,CO
2004-10,0.48097588,8.127186641,CO
2004-11,0.515451056,9.411227808,CO
2004-12,0.61438189,11.16064078,CO
2005-01,0.530024707,9.085057005,CO
2005-02,0.459406307,7.821776416,CO
2005-03,0.434544571,6.929545219,CO
2005-04,0.397016024,6.268658514,CO
2005-05,0.378887547,5.877504904,CO
2005-06,0.401760447,5.941251153,CO
2005-07,0.386996048,5.867433858,CO
2005-08,0.388705712,5.969879202,CO
2005-09,0.439191538,7.090717276,CO
2005-10,0.488213694,8.098345403,CO
2005-11,0.561182535,10.05655423,CO
2005-12,0.659321365,11.22837288,CO
2006-01,0.606907028,10.52733494,CO
2006-02,0.513682864,8.798323141,CO
2006-03,0.408482138,6.600318277,CO
2006-04,0.400688637,6.173356276,CO
2006-05,0.397312948,5.835931505,CO
2006-06,0.39780851,5.934694166,CO
2006-07,0.367808316,5.412083448,CO
2006-08,0.347193449,5.241350055,CO
2006-09,0.354033052,5.869973778,CO
2006-10,0.4317422,7.479468883,CO
2006-11,0.579478302,10.66800585,CO
2006-12,0.550308585,10.13213503,CO
2007-01,0.436724543,7.716365773,CO
2007-02,0.485707296,7.90302258,CO
2007-03,0.461240947,7.345105506,CO
2007-04,0.382870485,5.755542004,CO
2007-05,0.362763115,5.252811021,CO
2007-06,0.332134101,4.921185669,CO
2007-07,0.327503698,4.766316127,CO
2007-08,0.333207807,4.881618796,CO
2007-09,0.341172298,5.221158839,CO
2007-10,0.402936567,6.758158216,CO
2007-11,0.437666297,7.606202627,CO
2007-12,0.478181862,8.288331171,CO
2008-01,0.437668381,7.815315363,CO
2008-02,0.420717419,7.157686274,CO
2008-03,0.308825159,5.084515602,CO
2008-04,0.324885627,4.974097185,CO
